no,name,kor,eng,math,total,avg,rank,c_date
530,Gouldie,72,67,63,202,67,0,2024-04-09
531,McLanaghan,94,61,73,228,76,0,2024-04-05
532,Dicte,57,81,64,202,67,0,2024-04-04
533,Plak,80,84,78,242,80,0,2024-04-02
534,Behnen,98,96,91,285,95,0,2024-04-01
535,Yeldon,87,73,91,251,83,0,2024-04-03
536,Salliere,88,50,75,213,71,0,2024-04-01
537,Gobel,100,75,78,253,84,0,2024-04-04
538,Wickins,71,62,61,194,64,0,2024-04-01
539,Dureden,94,66,91,251,83,0,2024-04-04
540,Donett,78,78,50,206,68,0,2024-04-07
541,Cuesta,72,59,54,185,61,0,2024-04-03
542,Ghidetti,63,86,82,231,77,0,2024-04-03
543,Sabates,81,79,90,250,83,0,2024-04-07
544,Allnatt,74,100,77,251,83,0,2024-04-03
545,Cicchillo,89,52,63,204,68,0,2024-04-06
546,O' Gara,68,82,68,218,72,0,2024-04-08
547,Aloigi,93,86,96,275,91,0,2024-04-04
548,Haysey,87,87,80,254,84,0,2024-04-09
549,Cheeke,63,63,86,212,70,0,2024-04-01
550,Radage,87,57,71,215,71,0,2024-04-02
551,Bosquet,57,75,90,222,74,0,2024-04-04
552,Kulver,52,90,59,201,67,0,2024-04-07
553,Knevit,60,61,71,192,64,0,2024-04-06
554,Staynes,65,80,52,197,65,0,2024-04-04
555,McGraith,67,100,94,261,87,0,2024-04-07
556,Rowbotham,83,64,52,199,66,0,2024-04-07
557,Laidlaw,74,92,92,258,86,0,2024-04-04
558,Bartalini,54,68,80,202,67,0,2024-04-04
559,Keefe,91,69,62,222,74,0,2024-04-05
560,Tann,64,70,90,224,74,0,2024-04-03
561,Vibert,98,66,74,238,79,0,2024-04-03
562,Linskill,86,89,82,257,85,0,2024-04-09
563,Villar,54,60,90,204,68,0,2024-04-03
564,O'Deegan,52,60,85,197,65,0,2024-04-03
565,Tombling,85,88,81,254,84,0,2024-04-05
566,Bang,67,98,79,244,81,0,2024-04-09
567,Timmis,59,97,77,233,77,0,2024-04-02
568,Alekhov,69,62,74,205,68,0,2024-04-09
569,Pirolini,50,60,70,180,60,0,2024-04-07
570,Lipgens,88,93,94,275,91,0,2024-04-06
571,A'field,56,83,50,189,63,0,2024-04-03
572,Hegley,90,59,55,204,68,0,2024-04-03
573,Doblin,87,70,72,229,76,0,2024-04-08
574,Cahan,99,82,61,242,80,0,2024-04-05
575,Tathacott,88,66,72,226,75,0,2024-04-01
576,Leebeter,70,69,64,203,67,0,2024-04-09
577,Hammett,72,97,63,232,77,0,2024-04-06
578,Ahlf,50,88,79,217,72,0,2024-04-08
579,Kettles,52,68,74,194,64,0,2024-04-01
580,Roffey,73,52,75,200,66,0,2024-04-04
581,Sagg,67,69,81,217,72,0,2024-04-05
582,Jones,94,66,100,260,86,0,2024-04-07
583,Corsan,85,60,84,229,76,0,2024-04-01
584,Hamblington,62,77,89,228,76,0,2024-04-08
585,Swaden,100,70,79,249,83,0,2024-04-08
586,Myrkus,94,76,56,226,75,0,2024-04-05
587,Sergean,67,91,73,231,77,0,2024-04-02
588,Tewkesbury.,82,68,86,236,78,0,2024-04-07
589,Fenby,51,61,55,167,55,0,2024-04-04
590,Watchorn,56,95,75,226,75,0,2024-04-08
591,Shadfourth,83,98,59,240,80,0,2024-04-06
592,Scruby,84,68,79,231,77,0,2024-04-07
593,McGrudder,95,69,67,231,77,0,2024-04-01
594,Westmoreland,54,53,62,169,56,0,2024-04-06
595,Aldhous,86,89,71,246,82,0,2024-04-05
596,Mac Giany,100,93,100,293,97,0,2024-04-03
597,Mighele,67,72,89,228,76,0,2024-04-05
598,Asmus,57,66,57,180,60,0,2024-04-03
599,McCord,57,58,87,202,67,0,2024-04-04
600,Crafter,66,53,70,189,63,0,2024-04-05
601,Starling,51,50,71,172,57,0,2024-04-03
602,Rattray,83,97,96,276,92,0,2024-04-02
603,Deluze,87,76,91,254,84,0,2024-04-06
604,Tripony,57,58,62,177,59,0,2024-04-05
605,Isakovitch,56,69,51,176,58,0,2024-04-05
606,Kittle,97,57,67,221,73,0,2024-04-03
607,Palser,99,58,76,233,77,0,2024-04-03
608,Cody,82,71,72,225,75,0,2024-04-01
609,Smiths,75,92,86,253,84,0,2024-04-02
610,Casetta,50,92,77,219,73,0,2024-04-09
611,Klagges,83,71,90,244,81,0,2024-04-03
612,Clulee,82,77,67,226,75,0,2024-04-04
613,Heinsius,66,76,50,192,64,0,2024-04-08
614,Martynov,53,73,96,222,74,0,2024-04-03
615,Janman,76,71,53,200,66,0,2024-04-07
616,Cullen,95,99,80,274,91,0,2024-04-04
617,MacAlester,57,88,60,205,68,0,2024-04-05
618,Edrich,64,97,97,258,86,0,2024-04-08
619,Lovstrom,88,88,89,265,88,0,2024-04-06
620,Bartrum,84,60,83,227,75,0,2024-04-03
621,Pautard,98,77,55,230,76,0,2024-04-07
622,Brettell,75,63,94,232,77,0,2024-04-05
623,Streeter,56,86,63,205,68,0,2024-04-03
624,Oldam,57,95,96,248,82,0,2024-04-07
625,Londesborough,67,69,82,218,72,0,2024-04-04
626,Raoux,74,52,98,224,74,0,2024-04-02
627,MacCombe,74,91,74,239,79,0,2024-04-02
628,Rowth,59,76,87,222,74,0,2024-04-04
629,Kovalski,89,68,86,243,81,0,2024-04-09
630,Soigoux,57,96,54,207,69,0,2024-04-08
631,Slowgrave,63,84,97,244,81,0,2024-04-02
632,Dunklee,50,96,74,220,73,0,2024-04-03
633,Vobes,54,94,61,209,69,0,2024-04-06
634,Cahalan,64,94,55,213,71,0,2024-04-09
635,Smee,86,77,66,229,76,0,2024-04-02
636,McGillacoell,96,97,82,275,91,0,2024-04-03
637,Beat,64,78,61,203,67,0,2024-04-07
638,Wimbush,97,60,56,213,71,0,2024-04-03
639,Jarley,94,61,78,233,77,0,2024-04-01
640,Kemitt,95,83,60,238,79,0,2024-04-04
641,Reddlesden,75,79,74,228,76,0,2024-04-06
642,Garlant,83,61,78,222,74,0,2024-04-01
643,Merriday,67,50,73,190,63,0,2024-04-04
644,Burril,88,98,74,260,86,0,2024-04-08
645,Wettern,65,59,63,187,62,0,2024-04-03
646,Chataignier,67,71,90,228,76,0,2024-04-01
647,Demeza,64,62,100,226,75,0,2024-04-08
648,Rennocks,72,72,87,231,77,0,2024-04-06
649,Crosseland,56,63,56,175,58,0,2024-04-01
650,Eakeley,51,83,79,213,71,0,2024-04-07
651,Althorp,67,73,90,230,76,0,2024-04-06
652,Algar,91,67,99,257,85,0,2024-04-04
653,Gabitis,69,83,64,216,72,0,2024-04-01
654,Firle,65,80,98,243,81,0,2024-04-03
655,Hessenthaler,50,66,60,176,58,0,2024-04-07
656,Kleinerman,82,92,74,248,82,0,2024-04-07
657,Van der Kruys,52,60,80,192,64,0,2024-04-01
658,Ivashkin,58,76,85,219,73,0,2024-04-08
659,Ferris,93,84,57,234,78,0,2024-04-06
660,McGaugey,60,53,73,186,62,0,2024-04-04
661,Stanesby,83,80,60,223,74,0,2024-04-09
662,Benoix,79,51,63,193,64,0,2024-04-07
663,Tanswill,77,66,99,242,80,0,2024-04-05
664,Bukowski,96,53,64,213,71,0,2024-04-06
665,Brignell,75,51,74,200,66,0,2024-04-01
666,Stredder,80,96,66,242,80,0,2024-04-06
667,Aleksandrov,82,96,72,250,83,0,2024-04-07
668,Beckett,51,51,52,154,51,0,2024-04-07
669,Julyan,93,54,78,225,75,0,2024-04-05
670,MacKinnon,66,57,60,183,61,0,2024-04-09
671,Ledeker,58,82,63,203,67,0,2024-04-03
672,Sherel,72,60,71,203,67,0,2024-04-07
673,Crenage,85,65,92,242,80,0,2024-04-04
674,Quilligan,78,66,89,233,77,0,2024-04-07
675,Burless,57,55,60,172,57,0,2024-04-06
676,Renahan,79,98,72,249,83,0,2024-04-05
677,Lewendon,97,74,82,253,84,0,2024-04-04
678,Aitken,70,65,74,209,69,0,2024-04-07
679,Eadie,88,83,88,259,86,0,2024-04-04
680,Folomkin,62,58,62,182,60,0,2024-04-04
681,Serjeant,90,87,71,248,82,0,2024-04-09
682,Durn,93,93,56,242,80,0,2024-04-03
683,Rabl,89,74,56,219,73,0,2024-04-05
684,Rawls,51,62,78,191,63,0,2024-04-08
685,Feeny,63,83,96,242,80,0,2024-04-08
686,Malecky,71,86,50,207,69,0,2024-04-01
687,Glass,64,96,85,245,81,0,2024-04-05
688,Scanes,50,79,62,191,63,0,2024-04-03
689,Thripp,80,85,100,265,88,0,2024-04-02
690,Gammack,69,85,89,243,81,0,2024-04-09
691,Cahillane,74,61,98,233,77,0,2024-04-02
692,Wilby,70,73,91,234,78,0,2024-04-01
693,Timmins,63,64,71,198,66,0,2024-04-04
694,Al Hirsi,93,94,92,279,93,0,2024-04-07
695,Scutter,91,90,68,249,83,0,2024-04-04
696,Muskett,54,74,71,199,66,0,2024-04-07
697,Wilmut,76,93,69,238,79,0,2024-04-03
698,Clackers,63,81,72,216,72,0,2024-04-09
699,Bisacre,91,70,62,223,74,0,2024-04-04
700,Entres,71,95,65,231,77,0,2024-04-03
701,Vasyaev,76,72,99,247,82,0,2024-04-09
702,Marion,59,50,51,160,53,0,2024-04-09
703,Extill,60,74,58,192,64,0,2024-04-06
704,Bridden,65,82,66,213,71,0,2024-04-05
705,Cabrer,82,67,83,232,77,0,2024-04-06
706,De Witt,51,92,93,236,78,0,2024-04-06
707,Geffe,51,73,66,190,63,0,2024-04-05
708,Dy,60,70,73,203,67,0,2024-04-09
709,Fenning,57,74,64,195,65,0,2024-04-01
710,Loverock,98,71,76,245,81,0,2024-04-04
711,Winterflood,79,80,61,220,73,0,2024-04-06
712,Baltzar,50,77,67,194,64,0,2024-04-07
713,Eefting,73,55,77,205,68,0,2024-04-03
714,Devigne,98,64,80,242,80,0,2024-04-07
715,Phibb,82,88,74,244,81,0,2024-04-08
716,Parnell,50,71,84,205,68,0,2024-04-05
717,Vedyashkin,98,89,61,248,82,0,2024-04-04
718,Jope,94,56,60,210,70,0,2024-04-09
719,Bruster,70,85,80,235,78,0,2024-04-07
720,Tuckwood,92,52,91,235,78,0,2024-04-03
721,Handasyde,60,76,61,197,65,0,2024-04-04
722,Spark,53,80,95,228,76,0,2024-04-01
723,Bargery,94,77,84,255,85,0,2024-04-08
724,Courtney,74,98,78,250,83,0,2024-04-07
725,Shalcras,82,93,90,265,88,0,2024-04-05
726,Dofty,72,70,95,237,79,0,2024-04-08
727,Beynke,67,52,82,201,67,0,2024-04-07
728,Challens,86,88,78,252,84,0,2024-04-09
729,Witt,50,82,77,209,69,0,2024-04-04
730,Lesley,74,70,61,205,68,0,2024-04-06
731,Billingsly,94,70,78,242,80,0,2024-04-05
732,Gelardi,61,68,51,180,60,0,2024-04-06
733,Fuge,70,60,52,182,60,0,2024-04-02
734,Broomfield,76,60,83,219,73,0,2024-04-06
735,Waddam,100,82,55,237,79,0,2024-04-02
736,Papaminas,91,51,95,237,79,0,2024-04-05
737,Karolowski,51,71,80,202,67,0,2024-04-09
738,Guihen,88,84,95,267,89,0,2024-04-08
739,Irlam,90,90,59,239,79,0,2024-04-03
740,Sandercock,61,96,75,232,77,0,2024-04-05
741,Trenholm,64,87,75,226,75,0,2024-04-01
742,Ghiraldi,68,90,82,240,80,0,2024-04-03
743,Clayson,73,57,59,189,63,0,2024-04-01
744,Sapsford,85,70,85,240,80,0,2024-04-03
745,Peres,86,57,58,201,67,0,2024-04-05
746,Eglise,97,98,91,286,95,0,2024-04-06
747,Farfull,55,94,91,240,80,0,2024-04-04
748,Lucian,78,76,75,229,76,0,2024-04-01
749,Hosburn,97,96,74,267,89,0,2024-04-02
750,Teliga,65,65,100,230,76,0,2024-04-09
751,Englishby,80,99,60,239,79,0,2024-04-08
752,Lanning,64,100,73,237,79,0,2024-04-01
753,Hendriksen,66,82,100,248,82,0,2024-04-06
754,Tapper,86,77,58,221,73,0,2024-04-08
755,Askaw,70,65,76,211,70,0,2024-04-06
756,Gingold,75,99,67,241,80,0,2024-04-08
757,Prickett,81,97,91,269,89,0,2024-04-01
758,Isack,51,69,83,203,67,0,2024-04-09
759,Cornu,60,76,79,215,71,0,2024-04-07
760,Belsham,79,95,53,227,75,0,2024-04-01
761,Reavey,71,76,68,215,71,0,2024-04-06
762,Klimontovich,96,51,91,238,79,0,2024-04-01
763,McLean,86,98,66,250,83,0,2024-04-07
764,Hegarty,77,91,75,243,81,0,2024-04-05
765,Darlasson,60,64,65,189,63,0,2024-04-04
766,Deveril,62,79,73,214,71,0,2024-04-05
767,Gurton,100,62,90,252,84,0,2024-04-06
768,Millom,51,57,64,172,57,0,2024-04-06
769,Reina,71,74,77,222,74,0,2024-04-08
770,Shewry,65,99,56,220,73,0,2024-04-08
771,Yielding,54,75,77,206,68,0,2024-04-04
772,Spriggs,58,58,57,173,57,0,2024-04-08
773,Yanov,60,66,73,199,66,0,2024-04-01
774,Wann,65,97,83,245,81,0,2024-04-04
775,Lorentz,64,93,95,252,84,0,2024-04-05
776,Sonley,73,93,66,232,77,0,2024-04-07
777,Fontenot,74,62,69,205,68,0,2024-04-07
778,Morigan,92,63,94,249,83,0,2024-04-04
779,Hanning,77,72,64,213,71,0,2024-04-05
780,Christoffels,53,73,96,222,74,0,2024-04-01
781,Rickaby,80,71,92,243,81,0,2024-04-04
782,Stegell,58,80,72,210,70,0,2024-04-06
783,Stoke,59,66,70,195,65,0,2024-04-02
784,Hamper,83,53,83,219,73,0,2024-04-08
785,Skally,61,96,51,208,69,0,2024-04-06
786,Bockh,50,77,57,184,61,0,2024-04-04
787,Seeney,65,56,89,210,70,0,2024-04-05
788,Tallon,79,92,70,241,80,0,2024-04-01
789,Padillo,53,81,72,206,68,0,2024-04-03
790,Rolling,88,86,62,236,78,0,2024-04-03
791,Wastall,91,80,95,266,88,0,2024-04-08
792,St Ledger,50,76,54,180,60,0,2024-04-08
793,Keady,56,51,83,190,63,0,2024-04-05
794,Yokley,76,64,100,240,80,0,2024-04-01
795,Bleyman,66,90,74,230,76,0,2024-04-03
796,Lockner,57,86,77,220,73,0,2024-04-02
797,Bree,96,75,90,261,87,0,2024-04-05
798,Mohan,61,56,85,202,67,0,2024-04-06
799,Kardos,97,83,66,246,82,0,2024-04-01
800,Hurndall,51,82,93,226,75,0,2024-04-06
801,Asmus,79,57,79,215,71,0,2024-04-06
802,McKinna,98,72,64,234,78,0,2024-04-06
803,Jobern,66,59,97,222,74,0,2024-04-05
804,Primmer,89,51,51,191,63,0,2024-04-08
805,Marland,66,78,83,227,75,0,2024-04-02
806,Mulhall,79,100,61,240,80,0,2024-04-04
807,Vassay,90,99,88,277,92,0,2024-04-06
808,Kinghorne,94,91,92,277,92,0,2024-04-01
809,Leadbeatter,96,73,100,269,89,0,2024-04-06
810,O'Mara,85,51,97,233,77,0,2024-04-06
811,Sturrock,51,57,82,190,63,0,2024-04-04
812,Cammock,87,51,78,216,72,0,2024-04-04
813,Betser,54,73,91,218,72,0,2024-04-09
814,Riddock,68,75,63,206,68,0,2024-04-06
815,Bewfield,75,66,77,218,72,0,2024-04-03
816,Vuitte,58,76,52,186,62,0,2024-04-02
817,Cosgriff,58,66,66,190,63,0,2024-04-01
818,Storks,97,88,72,257,85,0,2024-04-07
819,Gilfether,97,52,87,236,78,0,2024-04-03
820,Chatto,69,92,84,245,81,0,2024-04-06
821,Busk,50,76,74,200,66,0,2024-04-03
822,Venny,64,88,94,246,82,0,2024-04-01
823,Gerrens,81,94,94,269,89,0,2024-04-08
824,Dalwood,69,84,74,227,75,0,2024-04-07
825,Truelock,54,84,56,194,64,0,2024-04-09
826,Navein,100,60,82,242,80,0,2024-04-01
827,Simson,63,76,61,200,66,0,2024-04-08
828,Ranvoise,100,55,59,214,71,0,2024-04-04
829,Lambert-Ciorwyn,89,51,56,196,65,0,2024-04-04
830,Di Angelo,89,98,77,264,88,0,2024-04-06
831,Wayne,66,75,75,216,72,0,2024-04-06
832,Cyphus,73,82,100,255,85,0,2024-04-07
833,Deere,75,54,74,203,67,0,2024-04-09
834,Dunabie,70,91,80,241,80,0,2024-04-03
835,Berkeley,73,78,54,205,68,0,2024-04-07
836,Humfrey,52,98,84,234,78,0,2024-04-02
837,Markson,94,84,79,257,85,0,2024-04-06
838,Egdal,55,63,80,198,66,0,2024-04-03
839,Thunnercliffe,62,96,51,209,69,0,2024-04-03
840,Sinkins,91,88,64,243,81,0,2024-04-01
841,Dulwich,99,87,92,278,92,0,2024-04-09
842,Pouton,85,65,76,226,75,0,2024-04-05
843,Graves,98,57,87,242,80,0,2024-04-02
844,Deinert,70,63,95,228,76,0,2024-04-08
845,Smissen,99,86,73,258,86,0,2024-04-03
846,Iacovino,69,84,97,250,83,0,2024-04-09
847,Cours,90,62,81,233,77,0,2024-04-01
848,Bredbury,66,60,89,215,71,0,2024-04-06
849,Trafford,93,83,64,240,80,0,2024-04-01
850,Bagnall,78,81,97,256,85,0,2024-04-09
851,Cough,73,63,64,200,66,0,2024-04-03
852,Rushsorth,67,77,62,206,68,0,2024-04-03
853,Lum,95,87,69,251,83,0,2024-04-02
854,Kingscote,60,69,61,190,63,0,2024-04-03
855,Sperrett,56,79,83,218,72,0,2024-04-01
856,Romme,100,56,99,255,85,0,2024-04-07
857,Nicholson,69,89,100,258,86,0,2024-04-05
858,Pennells,63,100,97,260,86,0,2024-04-01
859,Tonner,75,71,79,225,75,0,2024-04-02
860,Laidler,70,73,79,222,74,0,2024-04-02
861,Duffyn,96,65,73,234,78,0,2024-04-01
862,Cavaney,76,82,78,236,78,0,2024-04-07
863,Garstan,53,94,59,206,68,0,2024-04-06
864,Litchmore,85,86,91,262,87,0,2024-04-02
865,Beardmore,61,58,55,174,58,0,2024-04-07
866,Byway,55,81,96,232,77,0,2024-04-04
867,Shorey,82,76,72,230,76,0,2024-04-01
868,Janman,91,91,78,260,86,0,2024-04-05
869,Almack,79,73,75,227,75,0,2024-04-07
870,McCaighey,83,50,88,221,73,0,2024-04-01
871,Reschke,78,58,51,187,62,0,2024-04-07
872,Darrach,55,78,71,204,68,0,2024-04-07
873,Hodgin,50,60,88,198,66,0,2024-04-02
874,Christoffe,72,80,91,243,81,0,2024-04-06
875,Reaveley,87,88,76,251,83,0,2024-04-04
876,Livingstone,77,58,83,218,72,0,2024-04-09
877,Swallow,80,81,72,233,77,0,2024-04-08
878,Crucitti,92,57,93,242,80,0,2024-04-05
879,Peter,83,61,94,238,79,0,2024-04-01
880,Russilll,97,89,65,251,83,0,2024-04-02
881,Tapscott,76,53,87,216,72,0,2024-04-09
882,Dunkerk,55,97,95,247,82,0,2024-04-04
883,Troppmann,65,99,69,233,77,0,2024-04-05
884,Barstow,83,90,99,272,90,0,2024-04-03
885,Tanslie,76,67,96,239,79,0,2024-04-03
886,Jina,55,85,54,194,64,0,2024-04-06
887,Curragh,100,71,67,238,79,0,2024-04-06
888,Soldan,50,64,71,185,61,0,2024-04-07
889,Bezant,83,93,90,266,88,0,2024-04-08
890,Struss,100,55,61,216,72,0,2024-04-02
891,Alp,52,87,93,232,77,0,2024-04-06
892,Roscher,62,77,68,207,69,0,2024-04-02
893,Merrett,68,60,63,191,63,0,2024-04-01
894,Horrod,53,50,52,155,51,0,2024-04-09
895,Bugdall,75,89,78,242,80,0,2024-04-05
896,Stowers,99,67,62,228,76,0,2024-04-05
897,Logsdale,54,84,82,220,73,0,2024-04-08
898,Cuppitt,58,56,90,204,68,0,2024-04-05
899,Ringe,55,56,59,170,56,0,2024-04-09
900,Trenholm,74,75,83,232,77,0,2024-04-01
901,Rushford,61,76,73,210,70,0,2024-04-07
902,Dedmam,81,99,100,280,93,0,2024-04-06
903,Flaunier,71,58,90,219,73,0,2024-04-01
904,Lewsam,55,88,51,194,64,0,2024-04-03
905,Maundrell,92,66,60,218,72,0,2024-04-07
906,Braker,65,93,54,212,70,0,2024-04-03
907,Scobbie,83,56,96,235,78,0,2024-04-08
908,Parkyns,100,55,67,222,74,0,2024-04-07
909,Aneley,72,80,78,230,76,0,2024-04-08
910,Danilin,76,72,64,212,70,0,2024-04-05
911,Gristhwaite,71,93,77,241,80,0,2024-04-08
912,Kleeman,69,51,59,179,59,0,2024-04-09
913,Yeomans,93,58,81,232,77,0,2024-04-08
914,Swindles,87,72,64,223,74,0,2024-04-09
915,Harnwell,67,94,75,236,78,0,2024-04-02
916,Gerok,52,54,80,186,62,0,2024-04-07
917,Roskrug,82,80,53,215,71,0,2024-04-05
918,Tenant,100,84,57,241,80,0,2024-04-09
919,Swiers,82,70,70,222,74,0,2024-04-03
920,Thornhill,69,93,81,243,81,0,2024-04-04
921,Adamkiewicz,80,90,83,253,84,0,2024-04-03
922,Dracksford,71,78,51,200,66,0,2024-04-04
923,Inwood,73,58,74,205,68,0,2024-04-09
924,Leyland,72,86,68,226,75,0,2024-04-08
925,Acreman,68,90,74,232,77,0,2024-04-05
926,Bilbee,52,51,89,192,64,0,2024-04-09
927,Hapgood,84,61,77,222,74,0,2024-04-04
928,Daborne,54,55,58,167,55,0,2024-04-09
929,Farnworth,97,55,78,230,76,0,2024-04-02
930,Moffett,87,78,69,234,78,0,2024-04-04
931,Skyner,93,75,58,226,75,0,2024-04-08
932,Windrum,75,74,92,241,80,0,2024-04-05
933,Cadogan,69,96,89,254,84,0,2024-04-08
934,Gibbett,94,88,50,232,77,0,2024-04-03
935,McNirlan,72,93,76,241,80,0,2024-04-09
936,Lorentzen,59,91,78,228,76,0,2024-04-08
937,Mintoff,72,73,67,212,70,0,2024-04-03
938,Jozefczak,71,98,72,241,80,0,2024-04-06
939,Blockley,79,89,91,259,86,0,2024-04-05
940,Adds,61,54,97,212,70,0,2024-04-03
941,Blatcher,72,61,66,199,66,0,2024-04-09
942,Boughey,59,98,50,207,69,0,2024-04-09
943,Besson,91,96,96,283,94,0,2024-04-03
944,McNally,92,95,99,286,95,0,2024-04-06
945,Surtees,85,50,76,211,70,0,2024-04-01
946,Eatherton,54,59,55,168,56,0,2024-04-02
947,Dioniso,54,86,97,237,79,0,2024-04-07
948,Forcer,93,89,79,261,87,0,2024-04-02
949,Rangall,78,76,70,224,74,0,2024-04-01
950,Breach,91,55,75,221,73,0,2024-04-04
951,Lavell,79,70,76,225,75,0,2024-04-02
952,Silliman,51,67,87,205,68,0,2024-04-07
953,Devennie,86,68,68,222,74,0,2024-04-09
954,Utterson,66,78,77,221,73,0,2024-04-06
955,O' Loughran,60,74,87,221,73,0,2024-04-03
956,MacNally,92,53,87,232,77,0,2024-04-09
957,MacRorie,93,63,90,246,82,0,2024-04-08
958,Abrahamian,70,69,61,200,66,0,2024-04-02
959,Joberne,64,58,60,182,60,0,2024-04-09
960,Buard,64,77,51,192,64,0,2024-04-05
961,O'Henehan,88,71,52,211,70,0,2024-04-05
962,Vauter,62,55,61,178,59,0,2024-04-01
963,Rannells,69,55,82,206,68,0,2024-04-09
964,Kraut,61,96,72,229,76,0,2024-04-03
965,McDermott-Row,68,77,68,213,71,0,2024-04-07
966,O'Shevlin,94,70,62,226,75,0,2024-04-05
967,Miguet,79,86,68,233,77,0,2024-04-07
968,McGeown,83,69,72,224,74,0,2024-04-06
969,Aubin,82,80,98,260,86,0,2024-04-07
970,Hayter,91,76,66,233,77,0,2024-04-08
971,Housaman,59,86,51,196,65,0,2024-04-04
972,Frickey,73,95,76,244,81,0,2024-04-02
973,Cookley,87,51,74,212,70,0,2024-04-01
974,Carl,81,61,82,224,74,0,2024-04-04
975,Hallt,77,92,97,266,88,0,2024-04-01
976,Hawney,86,80,94,260,86,0,2024-04-09
977,Feifer,82,78,75,235,78,0,2024-04-03
978,Housecroft,59,97,63,219,73,0,2024-04-02
979,Hillborne,94,56,86,236,78,0,2024-04-02
980,Courtliff,59,69,90,218,72,0,2024-04-06
981,Chaplyn,99,72,57,228,76,0,2024-04-05
982,Jacqueme,69,77,57,203,67,0,2024-04-03
983,Ivons,97,63,57,217,72,0,2024-04-06
984,Stanton,67,54,80,201,67,0,2024-04-01
985,Aird,83,66,71,220,73,0,2024-04-05
986,Gutcher,60,93,70,223,74,0,2024-04-09
987,Tuffey,67,66,97,230,76,0,2024-04-04
988,Laurant,59,55,80,194,64,0,2024-04-08
989,Marston,78,96,61,235,78,0,2024-04-09
990,Garbott,95,70,91,256,85,0,2024-04-03
991,Poon,89,65,51,205,68,0,2024-04-08
992,Westhofer,95,99,70,264,88,0,2024-04-09
993,Scorey,61,98,66,225,75,0,2024-04-08
994,Domingues,76,98,52,226,75,0,2024-04-02
995,Laneham,54,72,55,181,60,0,2024-04-03
996,Winship,74,64,56,194,64,0,2024-04-02
997,Stebbings,74,97,95,266,88,0,2024-04-04
998,Pyburn,74,68,61,203,67,0,2024-04-05
999,Kaasmann,56,72,68,196,65,0,2024-04-01
1000,Brunelleschi,60,55,63,178,59,0,2024-04-03
